year,country,R_geomean_logit,GM_PM25,sro_year,ssro_year,TempChange,Urban,CPI,CHERate,OutPocketRate,lnPopDensity,lnTravel,WASHIndex,ImmIndex,AMC,IncomeGroup
1,126,NA,14.8,NA,NA,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,129,NA,51.9,0.007210052,9.97E-06,0.539,38.214,NA,NA,NA,0.405270284,4.380211242,NA,62.75,NA,L
1,136,NA,3.9,0,0,-0.093,22.749,NA,NA,NA,2.202328707,4.206825886,NA,62,NA,LM
1,132,NA,13.9,0.135247554,0.14536158,1.764,56.623,43,NA,NA,0.195722496,5.204119983,NA,94.5,NA,L
1,139,NA,18.8,0.07890773,0.016206784,0.976,53.007,41,NA,NA,1.800267819,6.611510887,NA,91.25,NA,LM
1,141,NA,15,0.94921071,0.861876446,0.288,28.92,35,NA,NA,1.343363859,NA,NA,70.75,NA,L
1,143,NA,14.5,0.044918715,0.001730604,0.85,31.851,53,NA,NA,0.334446571,5.84135947,NA,72.25,NA,LM
1,208,NA,5.2,NA,NA,1.229,61.559,NA,NA,NA,1.058614552,5,NA,NA,NA,H
1,148,NA,14.9,2.219966198,3.195966454,0.169,55.036,31,NA,NA,1.622870879,5.72427587,NA,86,NA,L
1,149,NA,52,0.029760825,0.001358677,0.549,16.103,NA,NA,NA,0.947762792,4.591064607,NA,38.5,NA,L
1,151,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,31,NA,2.9,NA,NA,NA,90.038,NA,NA,NA,2.219407966,5.700703717,NA,NA,NA,H
1,154,NA,4.4,0,0,0.412,70.582,NA,NA,NA,1.624595941,4.740362689,NA,96,NA,UM
1,26,NA,10.6,11.21989516,12.3092851,-0.088,61.451,NA,NA,NA,1.597585413,5.744292983,NA,93.75,NA,UM
1,21,NA,5.5,12.22874697,11.36309152,0.311,13.375,NA,NA,NA,1.070060964,NA,NA,65,NA,LM
1,24,NA,24.4,0.848306369,0.998151194,0.004,54.693,20,NA,NA,1.102106598,6.817499262,NA,83,NA,LM
1,36,NA,8.5,NA,NA,0.672,94.298,NA,NA,NA,2.631869234,6.625415352,NA,NA,NA,UM
1,114,NA,21.9,2.888459404,1.542644538,NA,14.064,NA,NA,NA,2.511440974,NA,NA,85.5,NA,L
1,170,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,171,NA,9.5,0,0,0.541,32.965,NA,NA,NA,2.23654695,5.354108439,NA,99,NA,UM
1,172,NA,12.2,0.015215608,0,0.526,27.971,NA,NA,NA,2.41403035,5.823474229,NA,93,NA,UM
1,175,NA,11.6,0,0,0.614,44.823,NA,NA,NA,2.465821196,5.348304863,NA,95,NA,LM
1,161,NA,3.5,2.121664368,5.827768256,0.163,21.886,NA,NA,NA,1.808788156,NA,NA,96,NA,LM
1,169,NA,11.6,0,0,0.881,52.467,NA,NA,NA,2.169429499,3.763428008,NA,75.75,NA,L
1,164,NA,47.7,0.427586655,0.169661819,0.581,40.177,34,NA,NA,1.692244136,NA,NA,67.5,NA,L
1,166,NA,7.9,0,0,0.295,50.238,NA,NA,NA,2.24255223,5.113943352,NA,99,NA,UM
1,163,NA,26.7,4.361057848,8.080887197,0.59,35.384,NA,NA,NA,1.792390234,NA,NA,59.75,NA,L
1,183,NA,4.1,3.807425593,8.300150957,0.249,15.496,NA,NA,NA,1.175448419,NA,NA,93.5,NA,L
1,182,NA,19.8,0.049610635,0.002662325,0.388,32.878,NA,NA,NA,1.125973102,NA,NA,46.25,NA,L
1,235,NA,20.6,0.836589816,0.998269013,NA,16.376,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,181,NA,9.6,1.836965619,4.339093736,0.614,66.371,NA,NA,NA,0.47939626,4.857332496,NA,84.66666667,NA,LM
1,211,NA,33.8,0.03622862,0.018777975,1.282,51.578,NA,NA,NA,1.93713168,6.428458774,NA,87.5,NA,LM
1,184,NA,14.9,2.780713856,1.081731758,1.062,26.76,NA,NA,NA,1.645656194,3.653212514,NA,85.75,NA,L
1,237,NA,10.7,5.397889064,3.677307356,0.231,23.91,NA,NA,NA,1.765532272,NA,NA,NA,NA,NA
1,51,NA,31.4,2.379477628,3.122043874,0.575,32.46,NA,NA,NA,1.951826247,4.84509804,NA,63,NA,L
1,193,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,187,NA,4.1,0,0,0.119,22.984,NA,NA,NA,2.151191028,4.643452676,NA,96,NA,LM
1,189,NA,13.7,0.430906016,0.404532636,0.687,55.771,NA,NA,NA,2.412774176,5.624282096,NA,79.25,NA,UM
1,188,NA,9.6,NA,NA,0.918,83.7,NA,NA,NA,1.277162689,NA,NA,NA,NA,NA
1,191,NA,3.8,0,0,0.392,45.607,NA,NA,NA,2.506955779,3.041392695,NA,90,NA,NA
1,202,NA,16.2,1.429584575,1.816596725,0.072,14.379,22,NA,NA,2.066351709,5.276461804,NA,59.75,NA,L
1,186,NA,12.5,0.822307503,0.545570524,-0.232,21.947,19,NA,NA,1.577706175,5.797267541,NA,77.25,NA,L
1,198,NA,7.6,NA,NA,0.548,92.228,NA,NA,NA,2.491757782,6.293141483,NA,NA,NA,H
1,203,NA,11.6,1.031951405,1.031583821,0.065,91.743,44,NA,NA,1.272648837,6.356599436,NA,95,NA,UM
1,204,NA,32.4,0.22965476,0.130938982,1.349,45.644,18,NA,NA,1.757016949,5.687528961,NA,98,NA,L
1,195,NA,5.4,1.750595732,3.633915807,0.883,21.382,NA,NA,NA,1.186840034,4.982271233,NA,69.75,NA,LM
1,194,NA,3.5,NA,NA,0.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,214,NA,38.4,0.212908759,0.095056742,NA,25.752,NA,NA,NA,1.535418352,NA,NA,73.75,NA,L
1,14,NA,10.9,2.738809425,2.080316286,1.055,92.666,NA,NA,NA,2.145169948,6.9741431,NA,90.5,NA,H
1,6,NA,9.9,NA,NA,NA,47.127,NA,NA,NA,2.683582318,5.987666265,NA,NA,NA,H
1,48,NA,23.4,6.896664483,15.35134091,0.581,47.35,NA,NA,NA,1.368327662,NA,NA,49,NA,LM
1,57,NA,4.8,NA,NA,0.469,35.86,NA,NA,NA,1.51028184,NA,NA,NA,NA,NA
1,226,NA,12.3,NA,NA,0.715,100,NA,NA,NA,3.442401369,NA,NA,NA,NA,NA
1,67,NA,1.7,NA,NA,0.522,81.476,NA,NA,NA,-0.864297399,NA,NA,NA,NA,H
1,111,NA,15.6,5.88235402,7.124963168,0.979,15.414,NA,NA,NA,2.3092974,4.77815125,NA,NA,NA,H
1,140,NA,14.4,1.046833825,0.148937194,0.924,100,NA,NA,NA,4.203610829,5.444044796,NA,99,NA,H
1,229,NA,4.1,0,0,NA,100,NA,NA,NA,2.715292858,NA,NA,68,NA,NA
1,173,NA,16.5,0.267794699,0.302678813,0.846,93.115,NA,NA,NA,2.643518474,6.498034724,NA,97.25,NA,NA
1,192,NA,39.4,0.021053433,0.004320306,1.309,45.689,NA,NA,NA,0.981283464,NA,NA,98,NA,L
1,206,NA,45.4,NA,NA,0.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,168,NA,5.5,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,97,NA,3.6,NA,NA,1.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,127,NA,11,NA,NA,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,133,NA,9.7,NA,NA,0.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
