country,year,IncomeGroup,TempChange,GM_PM25,sro_year,ssro_year,Urban,CHERate,OutPocketRate,CPI,lnPopDensity,lnTravel,WASHIndex,ImmIndex,AMC,J01A,J01B,J01C,J01D,J01E,J01F,J01G,J01M,SE.PRM.NENR,SE.SEC.NENR,AnimalmgKg,AnimalmgKg_adj,Aminoglycosides,Amphenicols,Cephalosporins,Lincosamides,Macrolides,Fluoroquinolones,Other quinolones,Penicillins,Pleuromutilins,Polypeptides,Sulfonamides,Tetracyclines,Others
60,1999,H,1.334,12.9,0.168163771,0.245833123,85.086,NA,NA,100,2.123998476,NA,NA,96.25,13.059624,NA,NA,NA,NA,NA,NA,NA,NA,97.94913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1999,LM,0.409,29.1,0.0892649,0,76.485,NA,NA,NA,1.491839494,4.322219295,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.73226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1999,UM,0.486,12.5,0,0,65.179,NA,NA,NA,1.96188283,5.447158031,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.08058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1999,LM,0.9,10.9,1.518826392,0.762789601,60.933,NA,NA,NA,2.240829906,6.467163966,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.61983,39.66008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1999,LM,0.202,11,9.249348067,14.66446723,59.796,NA,NA,24,1.698761725,5.71432976,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.95655,47.17097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1999,LM,0.828,37.8,9.81E-05,0,42.75,NA,NA,33,1.846506725,6.680969718,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.03368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1999,LM,0.301,22.8,3.859692541,3.96765481,58.357,NA,NA,39,2.456214449,NA,NA,94.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1999,L,0.822,29.5,0.309188486,0.082717159,25.735,NA,NA,NA,1.367941831,4.755874856,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.23594,24.90625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,1999,UM,1.524,11.4,0.087641902,1.560477436,69.543,NA,NA,57,1.515827613,6.502563669,NA,93.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.96768,83.95348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,1999,LM,0.505,20.4,0.684824081,0.467182346,22.817,NA,NA,NA,1.77237715,6.097951071,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.85493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1999,L,0.305,13.4,1.900348912,1.719029348,14.553,NA,NA,NA,1.813431388,5.06069784,NA,43.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.68444,10.96812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1999,LM,0.538,5.7,4.284715189,7.226857028,47.515,NA,NA,NA,1.653883919,5.7355989,NA,90.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.26094,75.58069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,1999,H,1.159,6.3,0.07936608,2.226459759,81.946,NA,NA,98,1.229394539,6.389874558,NA,97,21.183569,NA,NA,NA,NA,NA,NA,NA,NA,99.78745,94.4922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1999,H,1.199,13,0.94909831,2.382401564,75.614,NA,NA,66,2.043350628,NA,NA,89.2,31.92558,NA,NA,NA,NA,NA,NA,NA,NA,95.96275,90.10899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,1999,NA,0.663,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1999,H,0.456,3.8,NA,NA,56.126,NA,NA,NA,1.828901022,5.372912003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1999,UM,0.589,19.6,3.411637286,8.959013437,78.102,NA,NA,NA,0.682625327,5.418301291,NA,58.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1999,L,0.75,43.1,0.893866246,0.482044035,46.961,NA,NA,NA,2.139860117,4.982271233,NA,87.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.09651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1999,L,1.229,16.4,2.998322842,3.154341691,52.879,NA,NA,23,1.861723059,5.584331224,NA,84.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.18443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1999,H,1.367,15.1,0.276368508,2.704309061,74.758,NA,NA,80,2.371543904,7.233402278,NA,93.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.86843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
